E,nu,rho,h,a,mR,fR_target,f_low,f_high
96309681685.56415,0.3291625318334458,2642.5508864406133,0.001716668761477606,0.11955738182922174,0.03115056421521754,130.38355681909465,125.57571339128394,156.66901896901223
82868977506.47972,0.2997333912605462,2605.541241720947,0.0021432765445267266,0.1120317179640677,0.020115533553134543,361.48719708077476,326.28419260727634,395.92496237443873
97017534852.41055,0.3299277853416379,2686.81496767367,0.0015070799285820658,0.10866591701374838,0.023719163173019628,420.3518743793104,307.9321749088304,368.3920460854822
74233346339.9554,0.3233286293260808,2697.560106135268,0.002443583432269093,0.11534208132264717,0.02231226654152088,73.63511322770842,73.367113615763,82.37326536281968
90684241341.8987,0.31386130842940163,2719.2523419081976,0.0017078703419321664,0.08835849507188875,0.02233650495389359,178.98825459554143,173.67445416092067,225.26301294380292
89921275288.30487,0.30725678344821944,2751.7409191940174,0.0016795429389510831,0.08991155472905964,0.03440846530444687,280.72601590919624,249.45093353462207,373.17797178694593
73393490661.08534,0.27453626853575064,2728.613372517073,0.0016792581406089007,0.10982525053670304,0.029358240404140805,154.0609063773185,145.08970950934287,186.82920352570187
65447060780.61263,0.29552555779472145,2744.1771036875416,0.0018779350130294135,0.10663223171993413,0.03201657250370593,41.287942308495644,41.14080879576291,51.28269346768262
97571146607.89246,0.27602665593039194,2671.818201761313,0.0024256895629383075,0.08501103427616714,0.025966319892978096,178.6870946846697,176.76148328318072,221.98119329056578
77384201011.96378,0.2729249408413412,2713.6816610473334,0.0022656930239433057,0.11089719531896086,0.03000016571398026,323.1580712143567,290.4706936736374,368.14131546700054
85562164566.00587,0.30198514651568026,2699.07590132365,0.0016526491736368696,0.09712726453252042,0.021539781699663287,206.82803938949576,195.7474927086335,249.6596854471215
101074881574.33963,0.31280640362025186,2659.1297466943834,0.0015329296334109942,0.08639714054875312,0.031237823814968466,206.6500478317764,193.70522997510975,287.7609060208575
95640532803.95631,0.2832980221434575,2651.8489652897924,0.0020707944141856753,0.08226724939611066,0.021316833730523243,135.46049025601786,134.40519947341045,169.48509295149933
109833369864.82767,0.3090803041694856,2704.3571803898803,0.0015798128307661548,0.11594246833836312,0.030104722191322753,75.96118958068203,74.95823672102613,93.36817113323875
60524116892.51366,0.32992891667536095,2727.268866566871,0.0017723272452543778,0.11205842911691588,0.034012858497285484,372.936460443684,262.7041457362215,319.3814646652475
69429752014.92667,0.29545775037006233,2603.0641706403644,0.0022116237031329228,0.11871957070891273,0.02309876936118163,90.65986523298118,89.85456819900352,102.45552895226618
109619798803.87144,0.3034085397310935,2656.523143136318,0.0024906835273720675,0.11180614990399965,0.021837107206279082,64.82430181168974,64.71529107289811,72.84052290408202
81304436340.84755,0.28171208195390746,2781.162099982175,0.002092999347023566,0.08751620480323957,0.025556164660088476,117.25801144717462,116.20005329345626,146.63418681637242
